title,level,school,casting time,range,components,duration,source,spell lists,description
Enhance Ability,2,transmutation,1 action,Touch,"V, S, M (fur or a feather from a beast)","Concentration, up to 1 hour",Player's Handbook,"Artificer, Bard, Cleric, Druid, Ranger (Optional), Sorcerer, Wizard (Optional)","<p>You touch a creature and bestow upon it a magical enhancement. Choose one of the following effects; the target gains the effect until the spell ends.</p><ul>
<li><strong><em>Bear’s Endurance.</em></strong> The target has advantage on Constitution checks. It also gains 2d6 temporary hit points, which are lost when the spell ends.</li>
</ul><ul>
<li><strong><em>Bull’s Strength.</em></strong> The target has advantage on Strength checks, and their carrying capacity doubles.</li>
</ul><ul>
<li><strong><em>Cat’s Grace.</em></strong> The target has advantage on Dexterity checks. It also doesn’t take damage from falling 20 feet or less if it isn’t incapacitated.</li>
</ul><ul>
<li><strong><em>Eagle’s Splendor.</em></strong> The target has advantage on Charisma checks.</li>
</ul><ul>
<li><strong><em>Fox’s Cunning.</em></strong> The target has advantage on Intelligence checks.</li>
</ul><ul>
<li><strong><em>Owl’s Wisdom.</em></strong> The target has advantage on Wisdom checks.</li>
</ul><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.</p>"
Enlarge/Reduce,2,transmutation,1 action,30 feet,"V, S, M (a pinch of powdered iron)","Concentration, up to 1 minute",Player's Handbook,"Artificer, Bard (Optional), Druid (Optional), Sorcerer, Wizard","<p>You cause a creature or an object you can see within range to grow larger or smaller for the duration. Choose either a creature or an object that is neither worn nor carried. If the target is unwilling, it can make a Constitution saving throw. On a success, the spell has no effect.</p><p>If the target is a creature, everything it is wearing and carrying changes size with it. Any item dropped by an affected creature returns to normal size at once.</p><p><strong><em>Enlarge.</em></strong> The target’s size doubles in all dimensions, and its weight is multiplied by eight. This growth increases its size by one category – from Medium to Large, for example. If there isn’t enough room for the target to double its size, the creature or object attains the maximum possible size in the space available. Until the spell ends, the target also has advantage on Strength checks and Strength saving throws. The target’s weapons also grow to match its new size. While these weapons are enlarged, the target’s attack with them deal 1d4 extra damage.</p><p><strong><em>Reduce.</em></strong> The target’s size is halved in all dimensions, and its weight is reduced to one-eighth of normal. This reduction decreases its size by one category – from Medium to Small, for example. Until the spell ends, the target also has disadvantage on Strength checks and Strength saving throws. The target’s weapons also shrink to match its new size. While these weapons are reduced, the target’s attacks with them deal 1d4 less damage (this can’t reduce the damage below 1).</p>"
Find Traps,2,divination,1 action,120 feet,"V, S",Instantaneous,Player's Handbook,"Cleric, Druid, Ranger","<p>You sense the presence of any trap within range that is within line of sight.</p><p>A trap, for the purpose of this spell, includes anything that would inflict a sudden or unexpected effect you consider harmful or undesirable, which was specifically intended as such by its creator. Thus, the spell would sense an area affected by the alarm spell, a glyph of warding, or a mechanical pit trap, but it would not reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.</p><p>This spell merely reveals that a trap is present. You don’t learn the location of each trap, but you do learn the general nature of the danger posed by a trap you sense.</p>"
Flame Blade,2,evocation,1 bonus action,Self,"V, S, M (a leaf of sumac)","Concentration, up to 10 minutes",Player's Handbook,"Druid, Sorcerer (Optional)","<p>You evoke a fiery blade in your free hand. The blade is similar in size and shape to a scimitar, and it lasts for the duration. If you let go of the blade, it disappears, but you can evoke the blade again as a bonus action.</p><p>You can use your action to make a melee spell attack with the fiery blade. On a hit, the target takes 3d6 fire damage. The flaming blade sheds bright light in a 10-foot radius and dim light for an additional 10 feet.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for every two slot levels above 2nd.</p>"
Flaming Sphere,2,conjuration,1 action,60 feet,"V, S, M (a bit of tallow, a pinch of brimstone, and a dusting of powdered iron)","Concentration, up to 1 minute",Player's Handbook,"Druid, Sorcerer (Optional), Wizard","<p>A 5-foot-diameter sphere of fire appears in an unoccupied space of your choice within range and lasts for the duration. Any creature that ends its turn within 5 feet of the sphere must make a Dexterity saving throw. The creature takes 2d6 fire damage on a failed save, or half as much damage on a successful one.</p><p>As a bonus action, you can move the sphere up to 30 feet. If you ram the sphere into a creature, that creature must make the saving throw against the sphere’s damage, and the sphere stops moving this turn.</p><p>When you move the sphere, you can direct it over barriers up to 5 feet tall and jump it across pits up to 10 feet wide. The sphere ignites flammable objects not being worn or carried, and it sheds bright light in a 20-foot radius and dim light for an additional 20 feet.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.</p>"
Gust of Wind,2,evocation,1 action,Self (60-foot line),"V, S, M (a legume seed)","Concentration, up to 1 minute",Player's Handbook,"Druid, Ranger (Optional), Sorcerer, Wizard","<p>A line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the spell’s duration. Each creature that starts its turn in the line must succeed on a Strength saving throw or be pushed 15 feet away from you in a direction following the line.</p><p>Any creature in the line must spend 2 feet of movement for every 1 foot it moves when moving closer to you.</p><p>The gust disperses gas or vapor, and it extinguishes candles, torches, and similar unprotected flames in the area. It causes protected flames, such as those of lanterns, to dance wildly and has a 50 percent chance to extinguish them.</p><p>As a bonus action on each of your turns before the spell ends, you can change the direction in which the line blasts from you.</p>"
Healing Spirit,2,conjuration,1 bonus action,60 feet,"V, S","Concentration, up to 1 minute",Xanathar's Guide to Everything,"Druid, Ranger","<p>You call forth a nature spirit to soothe the wounded. The intangible spirit appears in a space that is a 5-foot cube you can see within range. The spirit looks like a transparent beast or fey (your choice).</p><p>Until the spell ends, whenever you or a creature you can see moves into the spirits space for the first time on a turn or starts its turn there, you can cause the spirit to restore 1d6 hit points to that creature (no action required). The spirit can’t heal constructs or undead.</p><p>As a bonus action on your turn, you can move the Spirit up to 30 feet to a space you can see. The spirit can heal a number of times equal to 1 + your spellcasting ability modifier (minimum of twice). After healing that number of times, the spirit disappears.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, the healing increases 1d6 for each slot level above 2nd.</p>"
Heat Metal,2,transmutation,1 action,60 feet,"V, S, M (a piece of iron and a flame)","Concentration, up to 1 minute",Player's Handbook,"Artificer, Bard, Druid","<p>Choose a manufactured metal object, such as a metal weapon or a suit of heavy or medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 fire damage when you cast the spell. Until the spell ends, you can use a bonus action on each of your subsequent turns to cause this damage again.</p><p>If a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn’t drop the object, it has disadvantage on attack rolls and ability checks until the start of your next turn.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.</p>"
Hold Person,2,enchantment,1 action,60 feet,"V, S, M (a small, straight piece of iron)","Concentration, up to 1 minute",Player's Handbook,"Bard, Cleric, Druid, Sorcerer, Warlock, Wizard","<p>Choose a humanoid that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. At the end of each of its turns, the target can make another Wisdom saving throw. On a success, the spell ends on the target.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, you can target one additional humanoid for each slot level above 2nd. The humanoids must be within 30 feet of each other when you target them.</p>"
Lesser Restoration,2,abjuration,1 action,Touch,"V, S",Instantaneous,Player's Handbook,"Artificer, Bard, Cleric, Druid, Paladin, Ranger","<p>You touch a creature and can end either one disease or one condition afflicting it. The condition can be blinded, deafened, paralyzed, or poisoned.</p>"
Locate Animals or Plants,2,divination,1 action,Self,"V, S, M (a bit of fur from a bloodhound)",Instantaneous,Player's Handbook,"Bard, Druid, Ranger","<p>Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundings, you learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.</p>"
Locate Object,2,divination,1 action,Self,"V, S, M (a forked twig)","Concentration, up to 10 minutes",Player's Handbook,"Bard, Cleric, Druid, Paladin, Ranger, Wizard","<p>Describe or name an object that is familiar to you. You sense the direction to the object’s location, as long as that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.</p><p>The spell can locate a specific object known to you, as long as you have seen it up close – within 30 feet – at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.</p><p>This spell can’t locate an object if any thickness of lead, even a thin sheet, blocks a direct path between you and the object.</p>"
Moonbeam,2,evocation,1 action,120 feet,"V, S, M (several seeds of any moonseed plant and a piece of opalescent feldspar)","Concentration, up to 1 minute",Player's Handbook,Druid,"<p>A silvery beam of pale light shines down in a 5-foot radius, 40-foot-high cylinder centered on a point within range. Until the spell ends, dim light fills the cylinder.</p><p>When a creature enters the spell’s area for the first time on a turn or starts its turn there, it is engulfed in ghostly flames that cause searing pain, and it must make a Constitution saving throw. It takes 2d10 radiant damage on a failed save, or half as much damage on a successful one.</p><p>A shapechanger makes its saving throw with disadvantage. If it fails, it also instantly reverts to its original form and can’t assume a different form until it leaves the spell’s light.</p><p>On each of your turns after you cast this spell, you can use an action to move the beam up to 60 feet in any direction.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d10 for each slot level above 2nd.</p>"
Pass Without Trace,2,abjuration,1 action,Self,"V, S, M (ashes from a burned leaf of mistletoe and a sprig of spruce)","Concentration, up to 1 hour",Player's Handbook,"Druid, Ranger","<p>A veil of shadows and silence radiates from you, masking you and your companions from detection. For the duration, each creature you choose within 30 feet of you (including you) has a +10 bonus to Dexterity (Stealth) checks and can’t be tracked except by magical means. A creature that receives this bonus leaves behind no tracks or other traces of its passage.</p>"
Protection from Poison,2,abjuration,1 action,Touch,"V, S",1 hour,Player's Handbook,"Artificer, Cleric, Druid, Paladin, Ranger","<p>You touch a creature. If it is poisoned, you neutralize the poison. If more than one poison afflicts the target, you neutralize one poison that you know is present, or you neutralize one at random.</p><p>For the duration, the target has advantage on saving throws against being poisoned, and it has resistance to poison damage.</p>"
Skywrite,2,transmutation,1 action,Sight,"V, S","Concentration, up to 1 day",Xanathar's Guide to Everything,"Bard, Druid, Wizard, Artificer",<p>You cause up to ten words to form in a part of the sky you can see. The words appear to be made of cloud and remain in place for the spell’s duration. The words dissipate when the spell ends. A strong wind can disperse the clouds and end the spell early.</p>
Spike Growth,2,transmutation,1 action,150 feet,"V, S, M (seven sharp thorns or seven small twigs, each sharpened to a point)","Concentration, up to 10 minutes",Player's Handbook,"Druid, Ranger","<p>The ground in a 20-foot radius centered on a point within range twists and sprouts hard spikes and thorns. The area becomes difficult terrain for the duration. When a creature moves into or within the area, it takes 2d4 piercing damage for every 5 feet it travels.</p><p>The transformation of the ground is camouflaged to look natural. Any creature that can’t see the area at the time the spell is cast must make a Wisdom (Perception) check against your spell save DC to recognize the terrain as hazardous before entering it.</p>"
Summon Beast,2,conjuration,1 action,90 feet,"V, S, M (a feather, tuft of fur, and fish tail inside a gilded acorn worth at least 200 gp)","Concentration, up to 1 hour",Tasha's Cauldron of Everything,"Druid (Optional), Ranger (Optional)","<p>You call forth a bestial spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Bestial Spirit stat block. When you cast the spell, choose an environment: Air, Land, or Water. The creature resembles an animal of your choice that is native to the chosen environment, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.</p><p>The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its move to avoid danger.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, use the higher level where the spell’s level appears in the stat block.</p>"
Warding Wind,2,evocation,1 action,Self,V,"Concentration, up to 10 minutes",Xanathar's Guide to Everything,"Bard, Druid, Sorcerer, Wizard","<p>A strong wind (20 miles per hour) blows around you in a 10-foot radius and moves with you, remaining centered on you. The wind lasts for the spell’s duration.</p><p>The wind has the following effects:</p><ul>
<li>It deafens you and other creatures in its area.</li>
</ul><ul>
<li>It extinguishes unprotected flames in its area that are torch-sized or smaller.</li>
</ul><ul>
<li>The area is difficult terrain for creatures other than you.</li>
</ul><ul>
<li>The attack rolls of ranged weapon attacks have disadvantage if they pass in or out of the wind.</li>
</ul><ul>
<li>It hedges out vapor, gas, and fog that can be dispersed by strong wind.</li>
</ul>"
Wither and Bloom,2,necromancy,1 action,60 feet,"V, S, M (a withered vine twisted into a loop)",Instantaneous,Strixhaven: A Curriculum of Chaos,"Druid, Sorcerer, Wizard","<p>You invoke both death and life upon a 10-foot-radius sphere centered on a point within range. Each creature of your choice in that area must make a Constitution saving throw, taking 2d6 necrotic damage on a failed save, or half as much damage on a successful one. Nonmagical vegetation in that area withers.</p><p>In addition, one creature of your choice in that area can spend and roll one of its unspent Hit Dice and regain a number of hit points equal to the roll plus your spellcasting ability modifier.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot above 2nd, and the number of Hit Dice that can be spent and added to the healing roll increases by one for each slot above 2nd.</p>"
Aura of Vitality,3,evocation,1 action,Self (30-foot radius),V,"Concentration, up to 1 minute",Player's Handbook,"Cleric (Optional), Druid (Optional), Paladin","<p>Healing energy radiates from you in an aura with a 30-foot radius. Until the spell ends, the aura moves with you, centered on you. You can use a bonus action to cause one creature in the aura (including you) to regain 2d6 hit points.</p>"
Call Lightning,3,conjuration,1 action,120 feet,"V, S","Concentration, up to 10 minutes",Player's Handbook,Druid,"<p>A storm cloud appears in the shape of a cylinder that is 10 feet tall with a 60-foot radius, centered on a point you can see within range directly above you. The spell fails if you can’t see a point in the air where the storm cloud could appear (for example, if you are in a room that can’t accommodate the cloud).</p><p>When you cast the spell, choose a point you can see under the cloud. A bolt of lightning flashes down from the cloud to that point. Each creature within 5 feet of that point must make a Dexterity saving throw. A creature takes 3d10 lightning damage on a failed save, or half as much damage on a successful one. On each of your turns until the spell ends, you can use your action to call down lightning in this way again, targeting the same point or a different one.</p><p>If you are outdoors in stormy conditions when you cast this spell, the spell gives you control over the existing storm instead of creating a new one. Under such conditions, the spell’s damage increases by 1d10.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 4th or higher level, the damage increases by 1d10 for each slot level above 3rd.</p>"
Conjure Animals,3,conjuration,1 action,60 feet,"V, S","Concentration, up to 1 hour",Player's Handbook,"Druid, Ranger","<p>You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range.</p><p>Choose one of the following options for what appears:</p><ul>
<li>One beast of challenge rating 2 or lower</li>
</ul><ul>
<li>Two beasts of challenge rating 1 or lower</li>
</ul><ul>
<li>Four beasts of challenge rating 1/2 or lower</li>
</ul><ul>
<li>Eight beasts of challenge rating 1/4 or lower</li>
</ul><p>Each beast is also considered fey, and it disappears when it drops to 0 hit points or when the spell ends.</p><p>The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don’t issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions. The DM has the creatures’ statistics.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 5th-level slot, three times as many with a 7th-level slot, and four times as many with a 9th-level slot.</p>"
Daylight,3,evocation,1 action,60 feet,"V, S",1 hour,Player's Handbook,"Cleric, Druid, Paladin, Ranger, Sorcerer","<p>A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet.</p><p>If you chose a point on an object you are holding or one that isn’t being worn or carried, the light shines from the object with and moves with it. Completely covering the affected object with an opaque object, such as a bowl or a helm, blocks the light.</p><p>If any of this spell’s area overlaps with an area of darkness created by a spell of 3rd level or lower, the spell that created the darkness is dispelled.</p>"
Dispel Magic,3,abjuration,1 action,120 feet,"V, S",Instantaneous,Player's Handbook,"Artificer, Bard, Cleric, Druid, Paladin, Sorcerer, Warlock, Wizard","<p>Choose any creature, object, or magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the target, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful check, the spell ends.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 4th level or higher, you automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used.</p>"
Elemental Weapon,3,transmutation,1 action,Touch,"V, S","Concentration, up to 1 hour",Player's Handbook,"Artificer, Druid (Optional), Paladin, Ranger (Optional)","<p>A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: acid, cold, fire, lightning, or thunder. For the duration, the weapon has a +1 bonus to attack rolls and deals an extra 1d4 damage of the chosen type when it hits.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 5th or 6th level, the bonus to attack rolls increases to +2 and the extra damage increases to 2d4. When you use a spell slot of 7th level or higher, the bonus increases to +3 and the extra damage increases to 3d4.</p>"
Erupting Earth,3,transmutation,1 action,120 feet,"V, S, M (a piece of obsidian)",Instantaneous,Xanathar's Guide to Everything/Elemental Evil Player's Companion,"Druid, Sorcerer, Wizard","<p>Choose a point you can see on the ground within range. A fountain of churned earth and stone erupts in a 20-foot cube centered on that point. Each creature in that area must make a Dexterity saving throw. A creature takes 3d12 bludgeoning damage on a failed save, or half as much damage on a successful one. Additionally, the ground in that area becomes difficult terrain until cleared away. Each 5-foot-square portion of the area requires at least 1 minute to clear by hand.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d12 for each slot level above 3rd.</p>"
Feign Death,3,necromancy,1 action,Touch,"V, S, M (a pinch of graveyard dirt)",1 hour,Player's Handbook,"Bard, Cleric, Druid, Wizard","<p>You touch a willing creature and put it into a cataleptic state that is indistinguishable from death.</p><p>For the spell’s duration, or until you use an action to touch the target and dismiss the spell, the target appears dead to all outward inspection and to spells used to determine the target’s status. The target is blinded and incapacitated, and its speed drops to 0. The target has resistance to all damage except psychic damage. If the target is diseased or poisoned when you cast the spell, or becomes diseased or poisoned while under the spell’s effect, the disease and poison have no effect until the spell ends.</p>"
Flame Arrows,3,transmutation,1 action,Touch,"V, S","Concentration, up to 1 hour",Xanathar's Guide to Everything,"Druid, Ranger, Sorcerer, Wizard, Artificer","<p>You touch a quiver containing arrows or bolts. When a target is hit by a ranged weapon attack using a piece of ammunition drawn from the quiver, the target takes an extra 1d6 fire damage. The spell’s magic ends on the piece of ammunition when it hits or misses, and the spell ends when twelve pieces of ammunition have been drawn from the quiver.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 4th level or higher, the number of pieces of ammunition you can affect with this spell increases by two for each slot level above 3rd.</p>"
Freedom of the Waves (HB),3,conjuration,1 action,120 feet,"V, S, M (a strand of wet hair)",Instantaneous,Tal'Dorei Campaign Setting Reborn,"Druid, Ranger, Sorcerer","<p>You conjure a deluge of seawater in a 15-foot-radius, 10-foot-tall cylinder centered on a point within range. This water takes the form of a tidal wave, a whirlpool, a waterspout, or another form of your choice. Each creature in the area must succeed on a Strength saving throw against your spell save DC or take 2d8 bludgeoning damage and fall prone. You can choose a number of creatures equal to your spellcasting modifier (minimum of 1) to automatically succeed on this saving throw.</p><p>If you are within the spell’s area, as part of the action you use to cast the spell, you can vanish into the deluge and teleport to an unoccupied space that you can see within the spell’s area.</p>"
Meld into Stone,3,transmutation,1 action,Touch,"V, S",8 hours,Player's Handbook,"Cleric, Druid, Ranger (Optional)","<p>You step into a stone object or surface large enough to fully contain your body, melding yourself and all the equipment you carry with the stone for the duration. Using your movement, you step into the stone at a point you can touch. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.</p><p>While merged with the stone, you can’t see what occurs outside it, and any Wisdom (Perception) checks you make to hear sounds outside it are made with disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use your movement to leave the stone where you entered it, which ends the spell. You otherwise can’t move.</p><p>Minor physical damage to the stone doesn’t harm you, but its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 bludgeoning damage to you. The stone’s complete destruction (or transmutation into a different substance) expels you and deals 50 bludgeoning damage to you. If expelled, you fall prone in an unoccupied space closest to where you first entered.</p>"
Plant Growth,3,transmutation,1 action or 8 hours,150 feet,"V, S",Instantaneous,Player's Handbook,"Bard, Druid, Ranger","<p>This spell channels vitality into plants within a specific area. There are two possible uses for the spell, granting either immediate or long-term benefits.</p><p>If you cast this spell using 1 action, choose a point within range. All normal plants in a 100-foot radius centered on that point become thick and overgrown. A creature moving through the area must spend 4 feet of movement for every 1 foot it moves.</p><p>You can exclude one or more areas of any size within the spell’s area from being affected.</p><p>If you cast this spell over 8 hours, you enrich the land. All plants in a half-mile radius centered on a point within range become enriched for 1 year. The plants yield twice the normal amount of food when harvested.</p>"
Protection from Energy,3,abjuration,1 action,Touch,"V, S","Concentration, up to 1 hour",Player's Handbook,"Artificer, Cleric, Druid, Ranger, Sorcerer, Wizard","<p>For the duration, the willing creature you touch has resistance to one damage type of your choice: acid, cold, fire, lightning, or thunder.</p>"
Revivify,3,necromancy,1 action,Touch,"V, S, M (diamonds worth 300 gp, which the spell consumes)",Instantaneous,Player's Handbook,"Artificer, Cleric, Druid (Optional), Paladin, Ranger (Optional)","<p>You touch a creature that has died within the last minute. That creature returns to life with 1 hit point. This spell can’t return to life a creature that has died of old age, nor can it restore any missing body parts.</p>"
Sleet Storm,3,conjuration,1 action,120 feet,"V, S, M (a pinch of dust and a few drops of water)","Concentration, up to 1 minute",Player's Handbook,"Druid, Sorcerer, Wizard","<p>Until the spell ends, freezing rain and sleet fall in a 20-foot-tall cylinder with a 40-foot radius centered on a point you choose within range. The area is heavily obscured, and exposed flames in the area are doused.</p><p>The ground in the area is covered with slick ice, making it difficult terrain. When a creature enters the spell’s area for the first time on a turn or starts its turn there, it must make a Dexterity saving throw. On a failed save, it falls prone.</p><p>If a creature starts its turn in the spell's area and is concentrating on a spell, the creature must make a successful Constitution saving throw against your spell save DC or lose concentration.</p>"
Speak with Plants,3,transmutation,1 action,Self (30-foot radius),"V, S",10 minutes,Player's Handbook,"Bard, Druid, Ranger","<p>You imbue plants within 30 feet of you with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell’s area within the past day, gaining information about creatures that have passed, weather, and other circumstances.</p><p>You can also turn difficult terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into difficult terrain that lasts for the duration, causing vines and branches to hinder pursuers, for example.</p><p>Plants might be able to perform other tasks on your behalf, at the DM’s discretion. The spell doesn’t enable plants to uproot themselves and move about, but they can freely move branches, tendrils, and stalks.</p><p>If a plant creature is in the area, you can communicate with it as if you share a common language, but you gain no magical ability to influence it.</p><p>This spell can cause the plants created by the entangle spell to release a restrained creature.</p>"
Summon Fey,3,conjuration,1 action,90 feet,"V, S, M (a gilded flower worth at least 300 gp)","Concentration, up to 1 hour",Tasha's Cauldron of Everything,"Druid (Optional), Ranger (Optional), Warlock (Optional), Wizard (Optional)","<p>You call forth a fey spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Fey Spirit stat block. When you cast the spell, choose a mood. Fuming, Mirthful, or Tricksy. The creature resembles a fey creature of your choice marked by the chosen mood, which determines one of the traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.</p><p>The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its move to avoid danger.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell’s level appears in the stat block.</p>"
Tidal Wave,3,conjuration,1 action,120 feet,"V, S, M (a drop of water)",Instantaneous,Xanathar's Guide to Everything,"Druid, Sorcerer, Wizard","<p>You conjure up a wave of water that crashes down on an area within range. The area can be up to 30 feet long, up to 10 feet wide, and up to 10 feet tall. Each creature in that area must make a Dexterity saving throw. On a failure, a creature takes 4d8 bludgeoning damage and is knocked prone. On a success, a creature takes half as much damage and isn’t knocked prone. The water then spreads out across the ground in all directions, extinguishing unprotected flames in its area and within 30 feet of it.</p>"
Wall of Water,3,evocation,1 action,60 feet,"V, S, M (a drop of water)","Concentration, up to 10 minutes",Xanathar's Guide to Everything,"Druid, Sorcerer, Wizard","<p>You conjure up a wall of water on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 1 foot thick, or you can make a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick. The wall vanishes when the spell ends. The wall’s space is difficult terrain.</p><p>Any ranged weapon attack that enters the wall’s space has disadvantage on the attack roll, and fire damage is halved if the fire effect passes through the wall to reach its target. Spells that deal cold damage that pass through the wall cause the area of the wall they pass through to freeze solid (at least a 5-foot square section is frozen). Each 5-foot-square frozen section has AC 5 and 15 hit points. Reducing a frozen section to 0 hit points destroys it. When a section is destroyed, the wall’s water doesn’t fill it.</p>"
Water Breathing,3,transmutation,1 action,30 feet,"V, S, M (a short reed or piece of straw)",24 hours,Player's Handbook,"Artificer, Druid, Ranger, Sorcerer, Wizard",<p>This spell grants up to ten willing creatures you can see within range the ability to breathe underwater until the spell ends. Affected creatures also retain their normal mode of respiration.</p>
Water Walk,3,transmutation,1 action,30 feet,"V, S, M (a piece of cork)",1 hour,Player's Handbook,"Artificer, Cleric, Druid, Ranger, Sorcerer","<p>This spell grants the ability to move across any liquid surface – such as water, acid, mud, snow, quicksand, or lava – as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures you can see within range gain this ability for the duration.</p><p>If you target a creature submerged in a liquid, the spell carries the target to the surface of the liquid at a rate of 60 feet per round.</p>"
Wind Wall,3,evocation,1 action,120 feet,"V, S, M (a tiny fan and a feather of exotic origin)","Concentration, up to 1 minute",Player's Handbook,"Druid, Ranger","<p>A wall of strong wind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long, 15 feet high, and 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration.</p><p>When the wall appears, each creature within its area must make a Strength saving throw. A creature takes 3d8 bludgeoning damage on a failed save, or half as much damage on a successful one.</p><p>The strong wind keeps fog, smoke, and other gases at bay. Small or smaller flying creatures or objects can’t pass through the wall. Loose, lightweight materials brought into the wall fly upward. Arrows, bolts, and other ordinary projectiles launched at targets behind the wall are deflected upward and automatically miss. (Boulders hurled by giants or siege engines, and similar projectiles, are unaffected.) Creatures in gaseous form can’t pass through it.</p>"
Blight,4,necromancy,1 action,30 feet,"V, S",Instantaneous,Player's Handbook,"Druid, Sorcerer, Warlock, Wizard","<p>Necromantic energy washes over a creature of your choice that you can see within range, draining moisture and vitality from it. The target must make a Constitution saving throw. The target takes 8d8 necrotic damage on a failed save, or half as much damage on a successful one. This spell has no effect on undead or constructs.</p><p>If you target a plant creature or a magical plant, it makes the saving throw with disadvantage, and the spell deals maximum damage to it. If you target a nonmagical plant that isn’t a creature, such as a tree or shrub, it doesn’t make a saving throw; it simply withers and dies.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d8 for each slot level above 4th.</p>"
